_init_proc                                   .init       0000000000402848 00000080 00000010 00000000 R . . . . . .
explain_data_delete                          .text       000000000041E978 00000074 00000010 00000004 R . . . . . .
disable_debug_trace_modes                    .text       000000000041E9EC 00000024 00000004 00000000 R . . . . . .
restore_debug_trace_modes                    .text       000000000041EA10 00000024 00000004 00000000 R . . . . . .
exec_prepared_stmt                           .text       000000000041EA34 00000340 00000040 00000008 R . . . . . .
expertHandleSQL                              .text       000000000041ED74 000000E4 00000010 0000000C R . . . . . .
expertFinish                                 .text       000000000041EE58 00000304 00000038 0000000C R . . . . . .
expertDotCommand                             .text       000000000041F15C 000003EC 00000038 0000000C R . . . . . .
shell_exec                                   .text       000000000041F548 000009C4 00000058 00000000 R . . . . . .
freeColumnList                               .text       000000000041FF0C 000000B8 00000018 00000004 R . . . . . .
tableColumnList                              .text       000000000041FFC4 00000590 00000068 00000000 R . . . . . .
toggleSelectOrder                            .text       0000000000420554 00000174 00000090 00000000 R . . . . . .
dump_callback                                .text       00000000004206C8 000007C0 00000070 00000008 R . . . . . .
run_schema_dump_query                        .text       0000000000420E88 00000288 00000038 00000000 R . . . . . .
showHelp                                     .text       0000000000421110 000004D8 00000020 00000008 R . . . . . .
readFile                                     .text       00000000004215E8 000001E4 00000028 00000008 R . . . . . .
deduceDatabaseType                           .text       00000000004217CC 00000330 00000090 00000008 R . . . . . .
open_db                                      .text       0000000000421AFC 00000548 00000030 00000008 R . . . . . .
close_db                                     .text       0000000000422044 000000B4 00000020 00000004 R . . . . . .
resolve_backslashes                          .text       00000000004220F8 000003A0 00000012 00000004 R . . . . . .
booleanValue                                 .text       0000000000422498 00000228 00000018 00000004 R . . . . . .
setOrClearFlag                               .text       00000000004226C0 00000088 00000008 0000000C R . . . . . .
output_file_close                            .text       0000000000422748 00000088 00000010 00000004 R . . . . . .
output_file_open                             .text       00000000004227D0 00000168 00000018 00000008 R . . . . . .
sql_trace_callback                           .text       0000000000422938 000000E0 00000020 00000010 R . . . . . .
test_breakpoint                              .text       0000000000422A18 00000038 00000004 00000000 R . . . . . .
import_append_char                           .text       0000000000422A50 00000108 00000010 00000008 R . . . . . .
csv_read_one_field                           .text       0000000000422B58 00000538 00000038 00000004 R . . . . . .
ascii_read_one_field                         .text       0000000000423090 0000017C 00000020 00000004 R . . . . . .
tryToCloneData                               .text       000000000042320C 00000920 00000070 00000000 R . . . . . .
tryToCloneSchema                             .text       0000000000423B2C 00000604 00000050 00000000 R . . . . . .
tryToClone                                   .text       0000000000424130 00000278 00000038 00000000 R . . . . . .
output_reset                                 .text       00000000004243A8 00000170 00000018 00000004 R . . . . . .
db_int                                       .text       0000000000424518 00000120 00000030 00000000 R . . . . . .
get2byteInt                                  .text       0000000000424638 00000040 00000004 00000004 R . . . . . .
get4byteInt                                  .text       0000000000424678 00000068 00000004 00000004 R . . . . . .
shell_dbinfo_command                         .text       00000000004246E0 0000070C 000000B0 00000008 R . . . . . .
shellDatabaseError                           .text       0000000000424DEC 00000084 00000018 00000004 R . . . . . .
testcase_glob                                .text       0000000000424E70 000006E0 00000028 00000008 R . . . . . .
optionMatch                                  .text       0000000000425550 000000AC 00000010 00000008 R . . . . . .
shellDeleteFile                              .text       00000000004255FC 00000058 00000018 00000004 R . . . . . .
clearTempFile                                .text       0000000000425654 000000C4 00000010 00000004 R . . . . . .
newTempFile                                  .text       0000000000425718 000001F0 00000030 00000000 R . . . . . .
shellFkeyCollateClause                       .text       0000000000425908 000002C4 00000058 00000008 R . . . . . .
lintFkeyIndexes                              .text       0000000000425BCC 000007F0 00000090 0000000C R . . . . . .
