.init_proc                                   .init  0000000000011634 0000000C 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
fts3MatchinfoSize                            .text  00000000001242C0 00000138 00000018 00000000         R . . . B . .
fts3MatchinfoSelectDoctotal                  .text  00000000001243F8 00000114 00000040 00000000         R . . . B . .
fts3MatchinfoLcsCb                           .text  0000000000124514 0000004C 00000020 00000000         R . . . B . .
fts3LcsIteratorAdvance                       .text  0000000000124560 000000E8 00000030 00000000         R . . . B . .
fts3MatchinfoLcs                             .text  000000000012464C 0000032C 00000040 00000000         R . . . B . .
fts3MatchinfoValues                          .text  000000000012497C 0000059C 00000078 00000000         R . . . B . .
fts3GetMatchinfo                             .text  0000000000124F24 00000314 00000068 00000000         R . . . B . .
sqlite3Fts3Snippet                           .text  000000000012523C 000003B8 00000108 0000000C         R . . . B . .
fts3ExprTermOffsetInit                       .text  0000000000125600 0000013C 00000038 00000000         R . . . B . .
sqlite3Fts3Offsets                           .text  0000000000125740 0000055C 000000E0 00000000         R . . . B . .
sqlite3Fts3Matchinfo                         .text  0000000000125CB4 0000008C 00000020 00000000         R . . . B . .
unicodeDestroy                               .text  0000000000125D48 0000004C 00000018 00000000         R . . . B . .
unicodeAddExceptions                         .text  0000000000125D94 00000394 00000038 00000000         R . . . B . .
unicodeIsException                           .text  0000000000126134 000000F0 00000020 00000000         R . . . B . .
unicodeIsAlnum                               .text  0000000000126224 00000040 00000018 00000000         R . . . B . .
unicodeCreate                                .text  0000000000126264 00000200 00000030 00000000         R . . . B . .
unicodeOpen                                  .text  0000000000126474 000000C4 00000020 00000000         R . . . B . .
unicodeClose                                 .text  0000000000126538 00000040 00000018 00000000         R . . . B . .
unicodeNext                                  .text  0000000000126578 000005C8 00000040 00000008         R . . . B . .
sqlite3Fts3UnicodeTokenizer                  .text  0000000000126B4C 0000002C 00000010 00000000         R . . . B . .
sqlite3FtsUnicodeIsalnum                     .text  0000000000126B7C 00000148 00000028 00000000         R . . . B . .
remove_diacritic                             .text  0000000000126CD0 00000180 00000160 00000000         R . . . B . .
sqlite3FtsUnicodeIsdiacritic                 .text  0000000000126E5C 0000009C 00000018 00000000         R . . . B . .
sqlite3FtsUnicodeFold                        .text  0000000000126F04 000001E8 00000030 00000000         R . . . B . .
jsonZero                                     .text  00000000001270F8 00000064 00000010 00000000         R . . . B . .
jsonInit                                     .text  000000000012715C 00000040 00000010 00000000         R . . . B . .
jsonReset                                    .text  000000000012719C 00000044 00000010 00000000         R . . . B . .
jsonOom                                      .text  00000000001271E0 00000040 00000010 00000000         R . . . B . .
jsonGrow                                     .text  0000000000127220 00000174 00000028 00000000         R . . . B . .
jsonAppendRaw                                .text  0000000000127394 000000C8 00000020 00000000         R . . . B . .
jsonPrintf                                   .text  000000000012745C 00000124 00000038 00000000         R . . . B . .
jsonAppendChar                               .text  0000000000127584 00000098 00000018 00000000         R . . . B . .
jsonAppendSeparator                          .text  000000000012761C 0000007C 00000020 00000000         R . . . B . .
jsonAppendString                             .text  0000000000127698 00000404 00000028 00000000         R . . . B . .
jsonAppendValue                              .text  0000000000127AA4 0000012C 00000020 00000000         R . . . B . .
jsonResult                                   .text  0000000000127BD8 00000088 00000020 00000000         R . . . B . .
jsonNodeSize                                 .text  0000000000127C64 00000044 00000010 00000000         R . . . B . .
jsonParseReset                               .text  0000000000127CA8 0000006C 00000010 00000000         R . . . B . .
jsonParseFree                                .text  0000000000127D14 0000002C 00000010 00000000         R . . . B . .
jsonRenderNode                               .text  0000000000127D40 000003DC 00000020 00000000         R . . . B . .
jsonReturnJson                               .text  0000000000128128 00000084 000000A0 00000000         R . . . B . .
jsonReturn                                   .text  00000000001281B0 000006C8 00000068 00000000         R . . . B . .
jsonParseAddNodeExpand                       .text  0000000000128878 000000CC 00000020 00000000         R . . . B . .
jsonParseAddNode                             .text  0000000000128944 000000CC 00000020 00000000         R . . . B . .
jsonIs4Hex                                   .text  0000000000128A10 00000078 00000018 00000000         R . . . B . .
jsonParseValue                               .text  0000000000128A8C 00000B68 00000028 00000000         R . . . B . .
jsonParse                                    .text  0000000000129608 00000134 00000020 00000000         R . . . B . .
jsonParseFillInParentage                     .text  0000000000129744 000001A0 00000020 00000000         R . . . B . .
jsonParseFindParents                         .text  00000000001298E4 0000007C 00000018 00000000         R . . . B . .
jsonParseCached                              .text  0000000000129960 000002A0 00000038 00000000         R . . . B . .
jsonLabelCompare                             .text  0000000000129C08 000000D4 00000018 00000000         R . . . B . .
jsonLookupStep                               .text  0000000000129CDC 00000794 00000048 00000004         R . . . B . .
jsonLookupAppend                             .text  000000000012A474 00000140 00000020 00000000         R . . . B . .
jsonPathSyntaxError                          .text  000000000012A5B8 0000002C 00000010 00000000         R . . . B . .
jsonLookup                                   .text  000000000012A5E8 00000128 00000030 00000000         R . . . B . .
jsonWrongNumArgs                             .text  000000000012A714 00000048 00000018 00000000         R . . . B . .
jsonRemoveAllNulls                           .text  000000000012A760 00000138 00000018 00000000         R . . . B . .
jsonQuoteFunc                                .text  000000000012A898 00000088 000000A0 00000000         R . . . B . .
jsonArrayFunc                                .text  000000000012A924 000000E8 000000A8 00000000         R . . . B . .
jsonArrayLengthFunc                          .text  000000000012AA10 00000148 00000038 00000000         R . . . B . .
jsonExtractFunc                              .text  000000000012AB58 000001D8 000000B0 00000000         R . . . B . .
jsonMergePatch                               .text  000000000012AD38 000005FC 00000040 00000000         R . . . B . .
jsonPatchFunc                                .text  000000000012B334 00000118 00000060 00000000         R . . . B . .
jsonObjectFunc                               .text  000000000012B450 000001BC 000000B0 00000000         R . . . B . .
jsonRemoveFunc                               .text  000000000012B618 00000170 00000048 00000000         R . . . B . .
jsonReplaceFunc                              .text  000000000012B78C 000001B4 00000048 00000000         R . . . B . .
jsonSetFunc                                  .text  000000000012B948 00000218 00000050 00000000         R . . . B . .
jsonTypeFunc                                 .text  000000000012BB6C 000000C4 00000028 00000000         R . . . B . .
jsonValidFunc                                .text  000000000012BC34 00000058 00000020 00000000         R . . . B . .
jsonArrayStep                                .text  000000000012BC8C 00000098 00000020 00000000         R . . . B . .
jsonArrayCompute                             .text  000000000012BD24 00000140 00000020 00000000         R . . . B . .
jsonArrayValue                               .text  000000000012BE6C 00000028 00000010 00000000         R . . . B . .
jsonArrayFinal                               .text  000000000012BE94 00000028 00000010 00000000         R . . . B . .
jsonGroupInverse                             .text  000000000012BEBC 00000144 00000030 00000000         R . . . B . .
jsonObjectStep                               .text  000000000012C000 000000E4 00000028 00000000         R . . . B . .
jsonObjectCompute                            .text  000000000012C0E4 00000134 00000020 00000000         R . . . B . .
jsonObjectValue                              .text  000000000012C220 00000028 00000010 00000000         R . . . B . .
jsonObjectFinal                              .text  000000000012C248 00000028 00000010 00000000         R . . . B . .
jsonEachConnect                              .text  000000000012C270 0000008C 00000020 00000004         R . . . B . .
jsonEachDisconnect                           .text  000000000012C300 00000028 00000010 00000000         R . . . B . .
jsonEachOpenEach                             .text  000000000012C328 00000060 00000018 00000000         R . . . B . .
jsonEachOpenTree                             .text  000000000012C388 00000058 00000018 00000000         R . . . B . .
jsonEachCursorReset                          .text  000000000012C3E0 00000094 00000010 00000000         R . . . B . .
jsonEachClose                                .text  000000000012C474 00000038 00000018 00000000         R . . . B . .
jsonEachEof                                  .text  000000000012C4AC 00000048 00000018 00000000         R . . . B . .
jsonEachNext                                 .text  000000000012C4F4 00000254 00000020 00000000         R . . . B . .
jsonEachComputePath                          .text  000000000012C748 00000138 00000030 00000000         R . . . B . .
jsonEachColumn                               .text  000000000012C888 000004D8 000000C0 00000000         R . . . B . .
jsonEachRowid                                .text  000000000012CD74 00000044 00000018 00000000         R . . . B . .
jsonEachBestIndex                            .text  000000000012CDB8 00000238 00000040 00000000         R . . . B . .
jsonEachFilter                               .text  000000000012CFF8 0000051C 00000058 00000004         R . . . B . .
sqlite3Json1Init                             .text  000000000012D51C 0000024C 00000038 00000000         R . . . B . .
readInt16                                    .text  000000000012D77C 0000003C 00000010 00000000         R . . . B . .
readCoord                                    .text  000000000012D7B8 00000048 00000010 00000000         R . . . B . .
readInt64                                    .text  000000000012D800 00000098 00000028 00000000         R . . . B . .
writeInt16                                   .text  000000000012D89C 0000004C 00000010 00000000         R . . . B . .
writeCoord                                   .text  000000000012D8E8 0000007C 00000018 00000000         R . . . B . .
writeInt64                                   .text  000000000012D968 00000084 00000020 00000000         R . . . B . .
nodeReference                                .text  000000000012D9EC 00000040 00000010 00000000         R . . . B . .
nodeZero                                     .text  000000000012DA2C 00000050 00000010 00000000         R . . . B . .
nodeHash                                     .text  000000000012DA7C 0000003C 00000018 00000000         R . . . B . .
nodeHashLookup                               .text  000000000012DAB8 0000008C 00000028 00000000         R . . . B . .
nodeHashInsert                               .text  000000000012DB44 00000078 00000020 00000000         R . . . B . .
nodeHashDelete                               .text  000000000012DBBC 000000AC 00000020 00000000         R . . . B . .
nodeNew                                      .text  000000000012DC68 000000B4 00000018 00000000         R . . . B . .
nodeBlobReset                                .text  000000000012DD1C 0000006C 00000018 00000000         R . . . B . .
nodeAcquire                                  .text  000000000012DD88 000003FC 00000040 00000008         R . . . B . .
nodeOverwriteCell                            .text  000000000012E190 000000EC 00000028 00000000         R . . . B . .
nodeDeleteCell                               .text  000000000012E27C 000000EC 00000030 00000000         R . . . B . .
nodeInsertCell                               .text  000000000012E368 000000CC 00000020 00000000         R . . . B . .
nodeWrite                                    .text  000000000012E434 00000130 00000028 00000000         R . . . B . .
nodeRelease                                  .text  000000000012E564 000000EC 00000020 00000000         R . . . B . .
nodeGetRowid                                 .text  000000000012E650 0000005C 00000020 00000000         R . . . B . .
nodeGetCoord                                 .text  000000000012E6AC 00000064 00000018 00000004         R . . . B . .
nodeGetCell                                  .text  000000000012E710 000000F4 00000030 00000000         R . . . B . .
rtreeCreate                                  .text  000000000012E804 00000058 00000028 00000008         R . . . B . .
rtreeConnect                                 .text  000000000012E85C 00000058 00000028 00000008         R . . . B . .
rtreeReference                               .text  000000000012E8B4 00000034 00000010 00000000         R . . . B . .
rtreeRelease                                 .text  000000000012E8E8 000000FC 00000010 00000000         R . . . B . .
rtreeDisconnect                              .text  000000000012E9E4 00000028 00000010 00000000         R . . . B . .
rtreeDestroy                                 .text  000000000012EA0C 000000DC 00000030 00000000         R . . . B . .
rtreeOpen                                    .text  000000000012EAEC 00000090 00000020 00000000         R . . . B . .
freeCursorConstraints                        .text  000000000012EB7C 000000D8 00000018 00000000         R . . . B . .
rtreeClose                                   .text  000000000012EC54 000000C0 00000020 00000000         R . . . B . .
rtreeEof                                     .text  000000000012ED14 00000030 00000018 00000000         R . . . B . .
rtreeCallbackConstraint                      .text  000000000012ED44 000006A0 00000098 00000008         R . . . B . .
rtreeNonleafConstraint                       .text  000000000012F3E8 000001A4 00000030 00000000         R . . . B . .
rtreeLeafConstraint                          .text  000000000012F58C 000001C8 00000030 00000000         R . . . B . .
nodeRowidIndex                               .text  000000000012F754 000000AC 00000028 00000004         R . . . B . .
nodeParentIndex                              .text  000000000012F804 0000007C 00000030 00000000         R . . . B . .
rtreeSearchPointCompare                      .text  000000000012F880 000000C4 00000018 00000000         R . . . B . .
rtreeSearchPointSwap                         .text  000000000012F944 0000019C 00000038 00000000         R . . . B . .
rtreeSearchPointFirst                        .text  000000000012FAE0 0000005C 00000010 00000000         R . . . B . .
rtreeNodeOfFirstSearchPoint                  .text  000000000012FB3C 000000D0 00000030 00000000         R . . . B . .
rtreeEnqueue                                 .text  000000000012FC0C 0000018C 00000038 00000001         R . . . B . .
rtreeSearchPointNew                          .text  000000000012FD98 0000020C 00000038 00000001         R . . . B . .
rtreeSearchPointPop                          .text  000000000012FFA4 00000344 00000020 00000000         R . . . B . .
rtreeStepToLeaf                              .text  00000000001302E8 000003C8 00000078 00000000         R . . . B . .
rtreeNext                                    .text  00000000001306B8 00000070 00000018 00000000         R . . . B . .
rtreeRowid                                   .text  0000000000130728 000000BC 00000030 00000000         R . . . B . .
rtreeColumn                                  .text  00000000001307E8 000002C0 00000048 00000000         R . . . B . .
findLeafNode                                 .text  0000000000130AAC 000000EC 00000038 00000008         R . . . B . .
deserializeGeometry                          .text  0000000000130B98 0000013C 00000028 00000000         R . . . B . .
rtreeFilter                                  .text  0000000000130CD8 000004B8 00000078 00000004         R . . . B . .
rtreeBestIndex                               .text  0000000000131194 000004DC 00000070 00000000         R . . . B . .
cellArea                                     .text  0000000000131680 00000374 00000020 00000000         R . . . B . .
cellMargin                                   .text  00000000001319F8 0000014C 00000028 00000000         R . . . B . .
cellUnion                                    .text  0000000000131B44 000001F0 00000028 00000000         R . . . B . .
cellContains                                 .text  0000000000131D34 00000154 00000028 00000000         R . . . B . .
cellGrowth                                   .text  0000000000131E88 000000B0 00000060 00000000         R . . . B . .
cellOverlap                                  .text  0000000000131F3C 0000052C 00000048 00000000         R . . . B . .
ChooseLeaf                                   .text  000000000013246C 00000284 000000A8 00000000         R . . . B . .
AdjustTree                                   .text  00000000001326F4 00000100 00000060 00000000         R . . . B . .
rowidWrite                                   .text  00000000001327FC 00000074 00000018 00000000         R . . . B . .
parentWrite                                  .text  0000000000132870 00000074 00000018 00000000         R . . . B . .
SortByDistance                               .text  00000000001328E4 00000284 00000048 00000000         R . . . B . .
SortByDimension                              .text  0000000000132B68 0000052C 00000060 00000008         R . . . B T .
splitNodeStartree                            .text  0000000000133094 000007EC 00000108 0000000C         R . . . B . .
updateMapping                                .text  0000000000133888 000000BC 00000030 00000008         R . . . B . .
SplitNode                                    .text  000000000013394C 00000658 000000D0 00000000         R . . . B . .
fixLeafParent                                .text  0000000000133FA8 000001A0 00000038 00000000         R . . . B . .
removeNode                                   .text  000000000013414C 000001EC 00000038 00000000         R . . . B . .
fixBoundingBox                               .text  000000000013433C 00000140 00000090 00000000         R . . . B . .
deleteCell                                   .text  0000000000134480 000000F4 00000028 00000000         R . . . B . .
Reinsert                                     .text  0000000000134578 000008F8 000000A8 00000000         R . . . B . .
rtreeInsertCell                              .text  0000000000134E78 000001A4 00000030 00000000         R . . . B . .
reinsertNodeContent                          .text  000000000013501C 00000128 00000068 00000000         R . . . B . .
rtreeNewRowid                                .text  0000000000135148 00000090 00000020 00000000         R . . . B . .
rtreeDeleteRowid                             .text  00000000001351D8 0000033C 00000050 00000000         R . . . B . .
rtreeValueDown                               .text  0000000000135518 000000C0 00000028 00000000         R . . . B . .
rtreeValueUp                                 .text  00000000001355E0 000000C0 00000028 00000000         R . . . B . .
rtreeConstraintError                         .text  00000000001356A8 00000180 00000038 00000000         R . . . B . .
rtreeUpdate                                  .text  0000000000135838 000005F8 00000080 00000000         R . . . B . .
rtreeBeginTransaction                        .text  0000000000135E38 00000044 00000018 00000000         R . . . B . .
rtreeEndTransaction                          .text  0000000000135E7C 0000003C 00000018 00000000         R . . . B . .
rtreeRename                                  .text  0000000000135EB8 000000DC 00000040 00000000         R . . . B . .
rtreeSavepoint                               .text  0000000000135F98 00000058 00000018 00000000         R . . . B . .
rtreeQueryStat1                              .text  0000000000135FF0 00000204 00000050 00000000         R . . . B . .
rtreeShadowName                              .text  0000000000136200 00000070 00000018 00000000         R . . . B . .
rtreeSqlInit                                 .text  0000000000136274 00000428 00000070 00000004         R . . . B . .
getIntFromStmt                               .text  00000000001366D4 000000DC 00000030 00000000         R . . . B . .
getNodeSize                                  .text  00000000001367B4 000001EC 00000028 00000000         R . . . B . .
rtreeInit                                    .text  00000000001369B8 0000056C 00000068 0000000C         R . . . B . .
rtreenode                                    .text  0000000000136F40 00000270 00000498 00000000         R . . . B . .
rtreedepth                                   .text  00000000001371C8 0000009C 00000020 00000000         R . . . B . .
rtreeCheckReset                              .text  0000000000137268 00000048 00000018 00000000         R . . . B . .
rtreeCheckPrepare                            .text  00000000001372B0 000000DC 00000038 00000000         R . . . B . .
rtreeCheckAppendMsg                          .text  0000000000137390 00000114 00000030 00000000         R . . . B . .
rtreeCheckGetNode                            .text  00000000001374B4 00000168 00000028 00000004         R . . . B . .
rtreeCheckMapping                            .text  0000000000137624 000001E0 00000060 00000000         R . . . B . .
rtreeCheckCellCoord                          .text  000000000013781C 00000258 00000048 0000000C         R . . . B . .
rtreeCheckNode                               .text  0000000000137A80 00000268 00000058 00000000         R . . . B . .
rtreeCheckCount                              .text  0000000000137CF8 000000F4 00000040 00000000         R . . . B . .
rtreeCheckTable                              .text  0000000000137DF4 000002C8 00000078 00000000         R . . . B . .
rtreecheck                                   .text  00000000001380DC 00000134 00000030 00000000         R . . . B . .
sqlite3RtreeInit                             .text  0000000000138220 00000150 00000030 00000000         R . . . B . .
rtreeFreeCallback                            .text  0000000000138394 00000054 00000018 00000000         R . . . B . .
rtreeMatchArgFree                            .text  00000000001383E8 00000078 00000018 00000000         R . . . B . .
geomCallback                                 .text  0000000000138460 000001BC 00000038 00000000         R . . . B . .
sqlite3_rtree_geometry_callback              .text  0000000000138624 000000B8 00000038 00000000         R . . . B . .
sqlite3_rtree_query_callback                 .text  00000000001386E4 000000B8 00000038 00000004         R . . . B . .
statConnect                                  .text  00000000001387A4 0000016C 00000038 00000008         R . . . B . .
statDisconnect                               .text  000000000013891C 00000028 00000010 00000000         R . . . B . .
statBestIndex                                .text  0000000000138944 000001F4 00000018 00000000         R . . . B . .
statOpen                                     .text  0000000000138B3C 00000088 00000018 00000000         R . . . B . .
statClearCells                               .text  0000000000138BC8 000000AC 00000018 00000000         R . . . B . .
statClearPage                                .text  0000000000138C74 00000054 00000010 00000000         R . . . B . .
statResetCsr                                 .text  0000000000138CC8 000000AC 00000018 00000000         R . . . B . .
statClose                                    .text  0000000000138D74 00000048 00000018 00000000         R . . . B . .
getLocalPayload                              .text  0000000000138DBC 00000124 00000028 00000000         R . . . B . .
statDecodePage                               .text  0000000000138EE4 00000788 00000070 00000000         R . . . B . .
statSizeAndOffset                            .text  0000000000139670 0000013C 00000048 00000000         R . . . B . .
statNext                                     .text  00000000001397B4 00000730 00000058 00000000         R . . . B . .
statEof                                      .text  0000000000139F08 00000030 00000018 00000000         R . . . B . .
statFilter                                   .text  0000000000139F38 000001D4 00000040 00000004         R . . . B . .
statColumn                                   .text  000000000013A11C 000001B8 00000030 00000000         R . . . B . .
statRowid                                    .text  000000000013A2D4 00000044 00000018 00000000         R . . . B . .
sqlite3DbstatRegister                        .text  000000000013A318 00000034 00000010 00000000         R . . . B . .
dbpageConnect                                .text  000000000013A354 000000B0 00000020 00000004         R . . . B . .
dbpageDisconnect                             .text  000000000013A408 00000028 00000010 00000000         R . . . B . .
dbpageBestIndex                              .text  000000000013A430 0000027C 00000020 00000000         R . . . B . .
dbpageOpen                                   .text  000000000013A6B4 0000007C 00000018 00000000         R . . . B . .
dbpageClose                                  .text  000000000013A730 00000050 00000018 00000000         R . . . B . .
dbpageNext                                   .text  000000000013A780 00000048 00000018 00000000         R . . . B . .
dbpageEof                                    .text  000000000013A7C8 00000048 00000018 00000000         R . . . B . .
dbpageFilter                                 .text  000000000013A810 00000208 00000030 00000004         R . . . B . .
dbpageColumn                                 .text  000000000013AA18 00000138 00000030 00000000         R . . . B . .
dbpageRowid                                  .text  000000000013AB54 00000044 00000018 00000000         R . . . B . .
dbpageUpdate                                 .text  000000000013AB98 000002E0 00000050 00000000         R . . . B . .
dbpageBegin                                  .text  000000000013AE98 00000098 00000020 00000000         R . . . B . .
sqlite3DbpageRegister                        .text  000000000013AF30 00000034 00000010 00000000         R . . . B . .
sqlite3Fts5ParserInit                        .text  000000000013AF6C 00000064 00000018 00000000         R . . . B . .
sqlite3Fts5ParserAlloc                       .text  000000000013AFD0 00000048 00000018 00000000         R . . . B . .
fts5yy_destructor                            .text  000000000013B01C 000000C0 00000020 00000000         R . . . B . .
fts5yy_pop_parser_stack                      .text  000000000013B0DC 00000050 00000018 00000000         R . . . B . .
sqlite3Fts5ParserFinalize                    .text  000000000013B12C 00000048 00000018 00000000         R . . . B . .
sqlite3Fts5ParserFree                        .text  000000000013B174 00000044 00000010 00000000         R . . . B . .
fts5yy_find_shift_action                     .text  000000000013B1B8 000000AC 00000018 00000000         R . . . B . .
fts5yy_find_reduce_action                    .text  000000000013B274 00000060 00000018 00000000         R . . . B . .
fts5yyStackOverflow                          .text  000000000013B2DC 00000064 00000018 00000000         R . . . B . .
fts5yy_shift                                 .text  000000000013B344 000000D4 00000020 00000000         R . . . B . .
fts5yy_reduce                                .text  000000000013B418 00000764 00000050 00000000         R . . . B . .
fts5yy_syntax_error                          .text  000000000013BB80 00000054 00000020 00000000         R . . . B . .
fts5yy_accept                                .text  000000000013BBD8 00000038 00000018 00000000         R . . . B . .
sqlite3Fts5Parser                            .text  000000000013BC10 00000188 00000040 00000004         R . . . B . .
sqlite3Fts5ParserFallback                    .text  000000000013BD9C 00000024 00000010 00000000         R . . . B . .
fts5CInstIterNext                            .text  000000000013BDC0 00000194 00000038 00000000         R . . . B . .
fts5CInstIterInit                            .text  000000000013BF58 00000098 00000020 00000000         R . . . B . .
fts5HighlightAppend                          .text  000000000013BFF0 00000094 00000018 00000000         R . . . B . .
fts5HighlightCb                              .text  000000000013C088 000002DC 00000028 00000008         R . . . B . .
fts5HighlightFunction                        .text  000000000013C368 000001E8 00000080 00000004         R . . . B . .
fts5SentenceFinderAdd                        .text  000000000013C55C 000000DC 00000018 00000000         R . . . B . .
fts5SentenceFinderCb                         .text  000000000013C638 00000148 00000028 00000004         R . . . B . .
fts5SnippetScore                             .text  000000000013C780 00000268 00000060 00000014         R . . . B . .
fts5ValueToText                              .text  000000000013C9EC 00000040 00000018 00000000         R . . . B . .
fts5SnippetFunction                          .text  000000000013CA30 00000784 000000F8 00000004         R . . . B . .
fts5CountCb                                  .text  000000000013D1C4 0000004C 00000020 00000000         R . . . B . .
fts5Bm25GetData                              .text  000000000013D210 00000394 00000068 00000000         R . . . B . .
fts5Bm25Function                             .text  000000000013D5BC 00000450 000000A8 00000004         R . . . B . .
sqlite3Fts5AuxInit                           .text  000000000013DA20 0000010C 00000060 00000000         R . . . B . .
sqlite3Fts5BufferSize                        .text  000000000013DB34 000000D8 00000020 00000000         R . . . B . .
sqlite3Fts5BufferAppendVarint                .text  000000000013DC0C 000000B4 00000020 00000000         R . . . B . .
sqlite3Fts5Put32                             .text  000000000013DCC0 0000007C 00000010 00000000         R . . . B . .
sqlite3Fts5Get32                             .text  000000000013DD3C 00000064 00000010 00000000         R . . . B . .
sqlite3Fts5BufferAppendBlob                  .text  000000000013DDA0 000000D0 00000018 00000000         R . . . B . .
sqlite3Fts5BufferAppendString                .text  000000000013DE70 00000064 00000020 00000000         R . . . B . .
sqlite3Fts5BufferAppendPrintf                .text  000000000013DED4 000000B4 00000030 00000000         R . . . B . .
sqlite3Fts5Mprintf                           .text  000000000013DF8C 000000A0 00000030 00000000         R . . . B . .
sqlite3Fts5BufferFree                        .text  000000000013E030 0000003C 00000010 00000000         R . . . B . .
sqlite3Fts5BufferZero                        .text  000000000013E06C 0000002C 00000010 00000000         R . . . B . .
sqlite3Fts5BufferSet                         .text  000000000013E098 00000048 00000018 00000000         R . . . B . .
sqlite3Fts5PoslistNext64                     .text  000000000013E0E0 00000228 00000038 00000000         R . . . B . .
sqlite3Fts5PoslistReaderNext                 .text  000000000013E30C 00000060 00000010 00000000         R . . . B . .
sqlite3Fts5PoslistReaderInit                 .text  000000000013E36C 0000005C 00000018 00000000         R . . . B . .
sqlite3Fts5PoslistSafeAppend                 .text  000000000013E3C8 0000015C 00000028 00000000         R . . . B . .
sqlite3Fts5PoslistWriterAppend               .text  000000000013E528 000000BC 00000020 00000000         R . . . B . .
sqlite3Fts5MallocZero                        .text  000000000013E5E8 00000084 00000018 00000000         R . . . B . .
sqlite3Fts5Strndup                           .text  000000000013E66C 000000B4 00000020 00000000         R . . . B . .
sqlite3Fts5IsBareword                        .text  000000000013E720 0000008C 00000098 00000000         R . . . B . .
sqlite3Fts5TermsetNew                        .text  000000000013E7B4 00000068 00000018 00000000         R . . . B . .
sqlite3Fts5TermsetAdd                        .text  000000000013E820 00000220 00000038 00000004         R . . . B . .
sqlite3Fts5TermsetFree                       .text  000000000013EA44 00000090 00000020 00000000         R . . . B . .
fts5_iswhitespace                            .text  000000000013EAD4 00000038 00000010 00000000         R . . . B . .
fts5_isopenquote                             .text  000000000013EB0C 00000060 00000010 00000000         R . . . B . .
fts5ConfigSkipWhitespace                     .text  000000000013EB6C 00000060 00000018 00000000         R . . . B . .
fts5ConfigSkipBareword                       .text  000000000013EBCC 0000006C 00000018 00000000         R . . . B . .
fts5_isdigit                                 .text  000000000013EC38 00000048 00000010 00000000         R . . . B . .
fts5ConfigSkipLiteral                        .text  000000000013EC80 000002DC 00000018 00000000         R . . . B . .
fts5Dequote                                  .text  000000000013EF60 00000138 00000020 00000000         R . . . B . .
sqlite3Fts5Dequote                           .text  000000000013F098 00000060 00000018 00000000         R . . . B . .
fts5ConfigSetEnum                            .text  000000000013F0F8 000000E4 00000028 00000000         R . . . B . .
fts5ConfigParseSpecial                       .text  000000000013F1DC 00000730 00000080 00000004         R . . . B . .
fts5ConfigDefaultTokenizer                   .text  000000000013F958 00000054 00000018 00000000         R . . . B . .
fts5ConfigGobbleWord                         .text  000000000013F9AC 00000148 00000028 00000000         R . . . B . .
fts5ConfigParseColumn                        .text  000000000013FAF4 00000118 00000020 00000000         R . . . B . .
fts5ConfigMakeExprlist                       .text  000000000013FC20 00000114 00000028 00000000         R . . . B . .
sqlite3Fts5ConfigParse                       .text  000000000013FD44 00000504 00000060 00000008         R . . . B . .
sqlite3Fts5ConfigFree                        .text  000000000014026C 00000138 00000018 00000000         R . . . B . .
sqlite3Fts5ConfigDeclareVtab                 .text  00000000001403A4 00000140 00000030 00000000         R . . . B . .
sqlite3Fts5Tokenize                          .text  0000000000140500 00000074 00000028 00000008         R . . . B . .
fts5ConfigSkipArgs                           .text  0000000000140574 00000094 00000018 00000000         R . . . B . .
sqlite3Fts5ConfigParseRank                   .text  0000000000140608 00000234 00000038 00000000         R . . . B . .
sqlite3Fts5ConfigSetValue                    .text  0000000000140840 00000374 00000040 00000000         R . . . B . .
sqlite3Fts5ConfigLoad                        .text  0000000000140BD0 00000214 00000048 00000000         R . . . B . .
sqlite3Fts5ParseError                        .text  0000000000140DF8 00000090 00000028 00000000         R . . . B . .
fts5ExprIsspace                              .text  0000000000140E8C 00000060 00000010 00000000         R . . . B . .
fts5ExprGetToken                             .text  0000000000140EEC 00000378 00000028 00000000         R . . . B . .
fts5ParseAlloc                               .text  0000000000141278 00000030 00000010 00000000         R . . . B . .
fts5ParseFree                                .text  00000000001412A8 00000024 00000010 00000000         R . . . B . .
sqlite3Fts5ExprNew                           .text  00000000001412CC 0000029C 00000068 00000004         R . . . B . .
sqlite3Fts5ParseNodeFree                     .text  0000000000141574 00000084 00000018 00000000         R . . . B . .
sqlite3Fts5ExprFree                          .text  00000000001415F8 00000050 00000010 00000000         R . . . B . .
fts5ExprSynonymRowid                         .text  0000000000141648 00000114 00000030 00000000         R . . . B . .
fts5ExprSynonymList                          .text  000000000014175C 00000410 000000D0 0000000C         R . . . B . .
fts5ExprPhraseIsMatch                        .text  0000000000141B70 00000564 000000F0 00000000         R . . . B . .
fts5LookaheadReaderNext                      .text  00000000001420D8 00000098 00000018 00000000         R . . . B . .
fts5LookaheadReaderInit                      .text  0000000000142170 00000060 00000018 00000000         R . . . B . .
fts5ExprNearIsMatch                          .text  00000000001421D0 00000558 00000128 00000000         R . . . B . .
fts5ExprAdvanceto                            .text  000000000014272C 0000010C 00000038 00000004         R . . . B . .
fts5ExprSynonymAdvanceto                     .text  0000000000142838 0000017C 00000048 00000000         R . . . B . .
fts5ExprNearTest                             .text  00000000001429B8 00000264 00000048 00000000         R . . . B . .
fts5ExprNearInitAll                          .text  0000000000142C20 0000022C 00000040 00000000         R . . . B . .
