.init_proc                                   .init  0000000000011634 0000000C 00000008 FFFFFFFFFFFFFFF8 R . . . . . .
sqlite3_expert_count                         .text  0000000000020AA0 00000050 00000018 00000000         R . . . B . .
sqlite3_expert_report                        .text  0000000000020AF0 00000128 00000020 00000000         R . . . B . .
sqlite3_expert_destroy                       .text  0000000000020C18 000000BC 00000010 00000000         R . . . B . .
shellLog                                     .text  0000000000020CD4 00000074 00000020 00000000         R . . . B . .
shellPutsFunc                                .text  0000000000020D4C 00000070 00000028 00000000         R . . . B . .
editFunc                                     .text  0000000000020DC0 0000063C 00000080 00000000         R . . . B . .
outputModePush                               .text  000000000002143C 00000064 00000010 00000000         R . . . B . .
outputModePop                                .text  00000000000214A0 00000064 00000010 00000000         R . . . B . .
output_hex_blob                              .text  0000000000021504 00000094 00000020 00000000         R . . . B . .
unused_string                                .text  00000000000215A0 000000B0 00000028 00000000         R . . . B . .
output_quoted_string                         .text  0000000000021654 00000178 00000018 00000000         R . . . B . .
output_quoted_escaped_string                 .text  00000000000217D4 00000334 00000058 00000000         R . . . B . .
output_c_string                              .text  0000000000021B30 00000184 00000018 00000000         R . . . B . .
output_html_string                           .text  0000000000021CB8 00000218 00000018 00000000         R . . . B . .
output_csv                                   .text  0000000000021EEC 00000180 00000028 00000000         R . . . B . .
interrupt_handler                            .text  0000000000022074 00000068 00000010 00000000         R . . . B . .
shellAuth                                    .text  00000000000220E4 00000154 00000040 00000008         R . . . B . .
printSchemaLine                              .text  0000000000022248 0000006C 00000018 00000000         R . . . B . .
printSchemaLineN                             .text  00000000000222C0 00000074 00000020 00000000         R . . . B . .
wsToEol                                      .text  0000000000022334 000000EC 00000018 00000000         R . . . B . .
eqp_append                                   .text  0000000000022420 00000124 00000030 00000000         R . . . B . .
eqp_reset                                    .text  0000000000022548 00000074 00000018 00000000         R . . . B . .
eqp_next_row                                 .text  00000000000225BC 00000084 00000020 00000000         R . . . B . .
eqp_render_level                             .text  0000000000022640 00000138 00000028 00000000         R . . . B . .
eqp_render                                   .text  000000000002278C 000000DC 00000018 00000000         R . . . B . .
shell_callback                               .text  0000000000022870 00001EE4 000000D8 00000004         R . . . B . .
callback                                     .text  0000000000024754 00000048 00000020 00000000         R . . . B . .
captureOutputCallback                        .text  000000000002479C 000000EC 00000020 00000000         R . . . B . .
createSelftestTable                          .text  0000000000024890 000000B8 00000020 00000000         R . . . B . .
set_table_name                               .text  000000000002495C 000001E0 00000020 00000000         R . . . B . .
run_table_dump_query                         .text  0000000000024B3C 000002D0 00000040 00000000         R . . . B . .
save_err_msg                                 .text  0000000000024E24 00000080 00000020 00000000         R . . . B . .
displayLinuxIoStats                          .text  0000000000024EA4 00000140 000000E8 00000000         R . . . B . .
displayStatLine                              .text  0000000000024FF8 00000150 00000118 00000004         R . . . B . .
display_stats                                .text  0000000000025150 00000704 000000A0 00000000         R . . . B . .
display_scanstats                            .text  00000000000258DC 00000024 00000010 00000000         R . . . B . .
str_in_array                                 .text  0000000000025900 0000008C 00000018 00000000         R . . . B . .
explain_data_prepare                         .text  000000000002598C 000004CC 00000080 00000000         R . . . B . .
explain_data_delete                          .text  0000000000025E70 0000006C 00000010 00000000         R . . . B . .
disable_debug_trace_modes                    .text  0000000000025EDC 00000018 00000004 00000000         R . . . B . .
restore_debug_trace_modes                    .text  0000000000025EF4 00000018 00000004 00000000         R . . . B . .
exec_prepared_stmt                           .text  0000000000025F0C 00000260 00000040 00000000         R . . . B . .
expertHandleSQL                              .text  0000000000026170 0000009C 00000018 00000000         R . . . B . .
expertFinish                                 .text  0000000000026224 00000218 00000040 00000000         R . . . B . .
expertDotCommand                             .text  0000000000026468 00000308 00000040 00000000         R . . . B . .
shell_exec                                   .text  00000000000267A0 00000720 00000050 00000000         R . . . B . .
freeColumnList                               .text  0000000000026EE0 00000074 00000018 00000000         R . . . B . .
tableColumnList                              .text  0000000000026F54 00000418 00000060 00000000         R . . . B . .
toggleSelectOrder                            .text  0000000000027384 000000E8 00000088 00000000         R . . . B . .
dump_callback                                .text  0000000000027478 00000578 00000068 00000000         R . . . B . .
run_schema_dump_query                        .text  0000000000027A38 00000188 00000030 00000000         R . . . B . .
showHelp                                     .text  0000000000027BD8 00000320 00000020 00000000         R . . . B . .
readFile                                     .text  0000000000027F14 0000010C 00000028 00000000         R . . . B . .
deduceDatabaseType                           .text  0000000000028024 0000020C 00000088 00000000         R . . . B . .
open_db                                      .text  0000000000028244 000003C8 00000030 00000000         R . . . B . .
close_db                                     .text  0000000000028644 00000058 00000020 00000000         R . . . B . .
resolve_backslashes                          .text  00000000000286A4 00000310 00000020 00000000         R . . . B . .
booleanValue                                 .text  00000000000289B4 0000018C 00000020 00000000         R . . . B . .
setOrClearFlag                               .text  0000000000028B58 00000070 00000018 00000000         R . . . B . .
output_file_close                            .text  0000000000028BC8 00000058 00000010 00000000         R . . . B . .
output_file_open                             .text  0000000000028C28 000000E4 00000018 00000000         R . . . B . .
sql_trace_callback                           .text  0000000000028D2C 000000A0 00000028 00000000         R . . . B . .
test_breakpoint                              .text  0000000000028DD0 0000002C 00000004 00000000         R . . . B . .
import_append_char                           .text  0000000000028E00 000000CC 00000018 00000000         R . . . B . .
csv_read_one_field                           .text  0000000000028ECC 00000440 00000038 00000000         R . . . B . .
ascii_read_one_field                         .text  000000000002931C 00000134 00000020 00000000         R . . . B . .
