_init_proc                           .init    000000000001B1DC 00000023 0000000C 00000000 R . . . . . .
_ngettext                            .plt     000000000001BD90 00000006                   R . . . . T .
_closedir                            .plt     000000000001BDA0 00000006                   R . . . . T .
_siglongjmp                          .plt     000000000001BDB0 00000006                   . . . . . T .
_opendir                             .plt     000000000001BDC0 00000006                   R . . . . T .
___ctype_b_loc                       .plt     000000000001BDD0 00000006                   R . . . . T .
_mbtowc                              .plt     000000000001BDE0 00000006                   R . . . . T .
_endservent                          .plt     000000000001BDF0 00000006                   R . . . . T .
sub_1BE00                            .plt.got 000000000001BE00 00000006                   R . . . . . .
sub_1BE08                            .plt.got 000000000001BE08 00000006                   R . . . . . .
sub_1BE10                            .plt.got 000000000001BE10 00000006                   R . . . . . .
sub_1BE18                            .plt.got 000000000001BE18 00000006                   R . . . . . .
_start                               .text    000000000001BE20 00000032                   . . . . . . .
sub_1BE52                            .text    000000000001BE52 00000004 00000000 00000000 R . . . . . .
__x86_get_pc_thunk_bx                .text    000000000001BE60 00000004 00000000 00000000 R . . . . . .
deregister_tm_clones                 .text    000000000001BE70 00000037                   R . . . . . .
register_tm_clones                   .text    000000000001BEB0 00000047                   R . . . . . .
__do_global_dtors_aux                .text    000000000001BF00 00000047 00000008 00000000 R . . . B . .
frame_dummy                          .text    000000000001BF50 0000003C                   R . . . . . .
__x86_get_pc_thunk_dx                .text    000000000001BF8C 00000004 00000000 00000000 R . . . . . .
main                                 .text    000000000001BF90 00000E84 0000010C 0000000C . . . . B . .
uidget                               .text    000000000001CE20 000001B5 0000003C 00000000 R . . . B . .
shell_reinitialize                   .text    000000000001CFE0 000001B8 0000004C 00000000 R . . . B . .
set_shell_name                       .text    000000000001D1A0 000002AC 0000004C 00000004 R . . . B . .
parse_long_options                   .text    000000000001D450 000002A9 0000004C 0000000C R . . . B . .
show_shell_usage                     .text    000000000001D700 00000441 0000009C 00000008 R . . . B . .
parse_shell_options                  .text    000000000001DB50 00000373 0000007C 0000000C R . . . B . .
disable_priv_mode                    .text    000000000001DED0 0000005E 0000001C 00000000 R . . . B . .
init_interactive                     .text    000000000001DF30 00000043 00000008 00000000 R . . . B . .
init_noninteractive                  .text    000000000001DF80 00000090 0000002C 00000000 R . . . B . .
run_shopt_alist                      .text    000000000001E010 000000EC 0000002C 00000000 R . . . B . .
shell_initialize                     .text    000000000001E100 0000033C 0000015C 00000000 R . . . B . .
exit_shell                           .text    000000000001E440 00000104 0000002C 00000004 . . . . B . .
shell_is_restricted                  .text    000000000001E550 000000B8 0000002C 00000004 R . . . B . .
run_startup_files                    .text    000000000001E610 00000577 0000007C 00000000 R . . . B . .
maybe_make_restricted                .text    000000000001EB90 000000FF 0000002C 00000004 R . . . B . .
bind_args                            .text    000000000001EC90 00000262 0000006C 00000010 R . . . B . .
start_debugger                       .text    000000000001EF00 00000070 0000002C 00000000 R . . . B . .
run_one_command                      .text    000000000001EF70 000001A8 0000005C 00000004 R . . . B . .
open_shell_script                    .text    000000000001F120 00000937 000001AC 00000004 R . . . B . .
set_bash_input                       .text    000000000001FA60 000000F8 0000001C 00000000 R . . . B . .
sh_exit                              .text    000000000001FB60 00000026 0000001C 00000004 . . . . B . .
unbind_args                          .text    000000000001FB90 00000047 0000001C 00000000 R . . . B . .
unset_bash_input                     .text    000000000001FBE0 00000094 0000001C 00000004 R . . . B . .
get_current_user_info                .text    000000000001FC80 0000034E 0000008C 00000000 R . . . B . .
add_shopt_to_alist                   .text    000000000001FFD0 000000C7 0000003C 00000008 R . . . B . .
execute_env_file                     .text    00000000000200A0 000000DB 0000003C 00000004 R . . . B . .
init_interactive_script              .text    0000000000020180 00000048 0000000C 00000000 R . . . B . .
reader_loop                          .text    00000000000201D0 000003E5 0000005C 00000000 R . . . B . .
read_command                         .text    00000000000205C0 000001BC 0000004C 00000000 R . . . B . .
parse_command                        .text    0000000000020780 000000E2 0000001C 00000000 R . . . B . .
send_pwd_to_eterm                    .text    0000000000020870 0000007A 0000002C 00000000 R . . . B . .
alrm_catcher                         .text    00000000000208F0 00000071 0000002C 00000004 . . . . B . .
yyparse                              .text    0000000000020970 00003FE9 00000AFC 00000000 R . . . B . .
yylex                                .text    0000000000024960 000001AA 0000001C 00000000 R . . . B . .
handle_eof_input_unit                .text    0000000000024B10 00000144 0000003C 00000000 R . . . B . .
gather_here_documents                .text    0000000000024C60 00000097 0000001C 00000000 R . . . B . .
rewind_input_string                  .text    0000000000024D00 00000064 00000014 00000000 R . . . B . .
yyerror                              .text    0000000000024D70 0000003F 0000001C 00000004 R . . . B . .
yydestruct                           .text    0000000000024DB0 00000049 00000018 0000000C R . . . B . .
return_EOF                           .text    0000000000024E00 0000000A 00000004 00000000 R . . . B . .
initialize_bash_input                .text    0000000000024E10 0000009E 0000002C 00000000 R . . . B . .
init_yy_io                           .text    0000000000024EB0 00000121 0000004C 00000011 R . . . B . .
yy_input_name                        .text    0000000000024FE0 00000052 0000000C 00000000 R . . . B . .
with_input_from_stdin                .text    0000000000025040 0000009B 0000003C 00000000 R . . . B . .
stream_on_stack                      .text    00000000000250E0 00000069 00000010 00000004 R . . . B . .
yy_readline_get                      .text    0000000000025150 000002E5 0000006C 00000000 R . . . B . .
yy_readline_unget                    .text    0000000000025440 0000006D 00000014 00000004 R . . . B . .
with_input_from_string               .text    00000000000254B0 0000006F 0000003C 00000008 R . . . B . .
yy_string_get                        .text    0000000000025520 00000078 0000001C 00000000 R . . . B . .
yy_string_unget                      .text    00000000000255A0 00000039 0000000C 00000004 R . . . B . .
with_input_from_stream               .text    00000000000255E0 0000006F 0000003C 00000008 R . . . B . .
yy_stream_get                        .text    0000000000025650 000000B4 0000001C 00000000 R . . . B . .
yy_stream_unget                      .text    0000000000025710 00000039 0000001C 00000004 R . . . B . .
push_stream                          .text    0000000000025750 00000133 0000003C 00000004 R . . . B . .
pop_stream                           .text    0000000000025890 000001E4 0000004C 00000000 R . . . B . .
save_token_state                     .text    0000000000025A80 00000088 0000002C 00000000 R . . . B . .
restore_token_state                  .text    0000000000025B10 00000063 0000000C 00000004 R . . . B . .
free_pushed_string_input             .text    0000000000025B80 0000001E 00000008 00000000 R . . . B . .
free_string_list                     .text    0000000000025BA0 000000DD 0000002C 00000000 R . . . B . .
read_secondary_line                  .text    0000000000025C80 000000D6 0000002C 00000004 R . . . B . .
prompt_again                         .text    0000000000025D60 0000021A 0000003C 00000000 R . . . B . .
read_a_line                          .text    0000000000025F80 00000326 0000004C 00000004 R . . . B . .
execute_variable_command             .text    00000000000262B0 000001B4 0000008C 00000008 R . . . B . .
save_parser_state                    .text    0000000000026470 00000166 0000003C 00000004 R . . . B . .
restore_parser_state                 .text    00000000000265E0 00000154 0000003C 00000004 R . . . B . .
reset_parser                         .text    0000000000026740 00000155 0000002C 00000000 R . . . B . .
xparse_dolparen                      .text    00000000000268A0 00000218 000000AC 00000010 R . . . B . .
find_reserved_word                   .text    0000000000026AC0 000000B2 0000002C 00000004 R . . . B . .
history_delimiting_chars             .text    0000000000026B80 000003B8 0000002C 00000004 R . . . B . .
get_current_prompt_level             .text    0000000000026F40 0000005F 00000010 00000000 R . . . B . .
