_init_proc                           .init    000000000001B1DC 00000023 0000000C 00000000 R . . . . . .
tgetnum                              .text    0000000000119F00 00000076 0000002C 00000004 R . . . B . .
find_capability                      .text    0000000000119F80 00000088 00000010 00000008 R . . . B . .
tgetflag                             .text    000000000011A010 00000060 0000001C 00000004 R . . . B . .
tgetstr                              .text    000000000011A070 00000093 0000002C 00000008 R . . . B . .
tputs                                .text    000000000011A110 00000237 0000004C 0000000C R . . . B . .
tgetent                              .text    000000000011A350 000004A3 0000009C 00000008 R . . . B . .
xmalloc                              .text    000000000011A800 00000047 0000001C 00000004 R . . . B . .
xrealloc                             .text    000000000011A850 00000054 0000002C 00000008 R . . . B . .
tgetst1                              .text    000000000011A8B0 0000029C 0000003C 00000008 R . . . B . .
memory_out                           .text    000000000011AB50 00000061 0000002C 00000000 . . . . B . .
scan_file                            .text    000000000011ABC0 00000148 0000004C 0000000C R . . . B . .
gobble_line                          .text    000000000011AD10 00000204 0000004C 0000000C R . . . B . .
name_match                           .text    000000000011AF20 000000FB 0000002C 00000008 R . . . B . .
compare_contin                       .text    000000000011B020 00000110 0000001C 00000008 R . . . B . .
tparam                               .text    000000000011B130 000000AC 0000006C 0000001C R . . . B . .
tgoto                                .text    000000000011B1E0 000000A4 0000004C 0000000C R . . . B . .
tparam1                              .text    000000000011B290 000007CF 000000EC 00000018 R . . . B . .
xmalloc_0                            .text    000000000011BA60 00000047 0000001C 00000004 R . . . B . .
xrealloc_0                           .text    000000000011BAB0 00000054 0000002C 00000008 R . . . B . .
memory_out_0                         .text    000000000011BB10 00000061 0000002C 00000000 . . . . B . .
sh_malloc                            .text    000000000011BB80 0000005A 0000003C 0000000C R . . . B . .
internal_malloc                      .text    000000000011BBE0 00000412 0000007C 00000010 R . . . B . .
sh_realloc                           .text    000000000011C000 00000067 0000003C 00000010 R . . . B . .
internal_realloc                     .text    000000000011C070 000004EB 0000009C 00000014 R . . . B . .
sh_free                              .text    000000000011C560 0000005A 0000003C 0000000C R . . . B . .
internal_free                        .text    000000000011C5C0 00000576 0000009C 00000010 R . . . B . .
sh_memalign                          .text    000000000011CB40 00000067 0000003C 00000010 R . . . B . .
internal_memalign                    .text    000000000011CBB0 000000E2 0000004C 00000014 R . . . B . .
sh_calloc                            .text    000000000011CCA0 00000067 0000003C 00000010 R . . . B . .
internal_calloc                      .text    000000000011CD10 0000009F 0000004C 00000014 R . . . B . .
sh_cfree                             .text    000000000011CDB0 0000005A 0000003C 0000000C R . . . B . .
internal_cfree                       .text    000000000011CE10 0000005A 0000003C 00000010 R . . . B . .
sh_valloc                            .text    000000000011CE70 0000005A 0000003C 0000000C R . . . B . .
internal_valloc                      .text    000000000011CED0 00000069 0000003C 00000010 R . . . B . .
malloc                               .text    000000000011CF40 00000049 0000002C 00000004 R . . . B . .
realloc                              .text    000000000011CF90 00000058 0000002C 00000008 R . . . B . .
free                                 .text    000000000011CFF0 00000049 0000002C 00000004 R . . . B . .
memalign                             .text    000000000011D040 00000058 0000002C 00000008 R . . . B . .
valloc                               .text    000000000011D0A0 00000049 0000002C 00000004 R . . . B . .
calloc                               .text    000000000011D0F0 00000058 0000002C 00000008 R . . . B . .
cfree                                .text    000000000011D150 00000049 0000002C 00000004 R . . . B . .
morecore                             .text    000000000011D1A0 00000306 0000013C 00000004 R . . . B . .
xbotch                               .text    000000000011D4B0 000000E3 0000005C 00000014 . . . . B . .
pagealign                            .text    000000000011D5A0 000001D3 0000003C 00000000 R . . . B . .
block_signals                        .text    000000000011D780 0000006E 0000003C 00000008 R . . . B . .
bsplit                               .text    000000000011D7F0 000001DF 00000028 00000004 R . . . B . .
bcoalesce                            .text    000000000011D9D0 000001CB 0000004C 00000004 R . . . B . .
unblock_signals                      .text    000000000011DBA0 00000056 0000003C 00000008 R . . . B . .
lesscore                             .text    000000000011DC00 0000005B 0000002C 00000004 R . . . B . .
xsplit                               .text    000000000011DC60 0000013B 00000030 00000008 R . . . B . .
__divdi3                             .text    000000000011DDA0 0000016A 0000002C 00000010 R . . . . . .
__moddi3                             .text    000000000011DF10 000001BD 0000003C 00000010 R . . . . . .
__udivdi3                            .text    000000000011E0D0 00000122 0000002C 00000010 R . . . . . .
__umoddi3                            .text    000000000011E200 00000151 0000002C 00000010 R . . . . . .
__libc_csu_init                      .text    000000000011E360 0000005D 00000010 0000000C R . . . . . .
__libc_csu_fini                      .text    000000000011E3C0 00000002                   R . . . . . .
stat64                               .text    000000000011E3D0 00000023 00000004 00000008 R . . . . . .
fstat64                              .text    000000000011E400 00000023 00000004 00000008 R . . . . . .
lstat64                              .text    000000000011E430 00000023 00000004 00000008 R . . . . . .
_term_proc                           .fini    000000000011E454 00000014 0000000C 00000000 R . . . . . .
getpwnam@@GLIBC_2_0                  extern   0000000000141504 00000004                   R . . . . . .
dup2@@GLIBC_2_0                      extern   0000000000141508 00000004                   R . . . . . .
setitimer@@GLIBC_2_0                 extern   000000000014150C 00000004                   R . . . . . .
endgrent@@GLIBC_2_0                  extern   0000000000141510 00000004                   R . . . . . .
strstr@@GLIBC_2_0                    extern   0000000000141514 00000004                   R . . . . . .
wcrtomb@@GLIBC_2_0                   extern   0000000000141518 00000004                   R . . . . . .
pathconf@@GLIBC_2_0                  extern   000000000014151C 00000004                   R . . . . . .
mbsrtowcs@@GLIBC_2_0                 extern   0000000000141520 00000004                   R . . . . . .
strcmp@@GLIBC_2_0                    extern   0000000000141524 00000004                   R . . . . . .
open64@@GLIBC_2_1                    extern   0000000000141528 00000004                   R . . . . . .
wctomb@@GLIBC_2_0                    extern   000000000014152C 00000004                   R . . . . . .
iswlower@@GLIBC_2_0                  extern   0000000000141530 00000004                   R . . . . . .
read@@GLIBC_2_0                      extern   0000000000141534 00000004                   R . . . . . .
getpwuid@@GLIBC_2_0                  extern   000000000014153C 00000004                   R . . . . . .
wcscoll@@GLIBC_2_0                   extern   0000000000141540 00000004                   R . . . . . .
printf@@GLIBC_2_0                    extern   0000000000141544 00000004                   R . . . . . .
fflush@@GLIBC_2_0                    extern   0000000000141548 00000004                   R . . . . . .
dup@@GLIBC_2_0                       extern   000000000014154C 00000004                   R . . . . . .
sigprocmask@@GLIBC_2_0               extern   0000000000141554 00000004                   R . . . . . .
wcwidth@@GLIBC_2_0                   extern   0000000000141558 00000004                   R . . . . . .
memmove@@GLIBC_2_0                   extern   000000000014155C 00000004                   R . . . . . .
confstr@@GLIBC_2_0                   extern   0000000000141560 00000004                   R . . . . . .
wcsrtombs@@GLIBC_2_0                 extern   0000000000141564 00000004                   R . . . . . .
wctype@@GLIBC_2_0                    extern   0000000000141568 00000004                   R . . . . . .
strtoumax@@GLIBC_2_1                 extern   000000000014156C 00000004                   R . . . . . .
memcpy@@GLIBC_2_0                    extern   0000000000141570 00000004                   R . . . . . .
faccessat@@GLIBC_2_4                 extern   0000000000141574 00000004                   R . . . . . .
tcsetpgrp@@GLIBC_2_0                 extern   0000000000141578 00000004                   R . . . . . .
mbsinit@@GLIBC_2_0                   extern   000000000014157C 00000004                   R . . . . . .
ferror@@GLIBC_2_0                    extern   0000000000141580 00000004                   R . . . . . .
fgets@@GLIBC_2_0                     extern   0000000000141584 00000004                   R . . . . . .
towlower@@GLIBC_2_0                  extern   0000000000141588 00000004                   R . . . . . .
tolower@@GLIBC_2_0                   extern   000000000014158C 00000004                   R . . . . . .
fclose@@GLIBC_2_1                    extern   0000000000141590 00000004                   R . . . . . .
time@@GLIBC_2_0                      extern   0000000000141594 00000004                   R . . . . . .
strtoimax@@GLIBC_2_1                 extern   0000000000141598 00000004                   R . . . . . .
memcmp@@GLIBC_2_0                    extern   000000000014159C 00000004                   R . . . . . .
gettimeofday@@GLIBC_2_0              extern   00000000001415A0 00000004                   R . . . . . .
sleep@@GLIBC_2_0                     extern   00000000001415A4 00000004                   R . . . . . .
select@@GLIBC_2_0                    extern   00000000001415A8 00000004                   R . . . . . .
chdir@@GLIBC_2_0                     extern   00000000001415AC 00000004                   R . . . . . .
wcsncmp@@GLIBC_2_0                   extern   00000000001415B0 00000004                   R . . . . . .
eaccess@@GLIBC_2_4                   extern   00000000001415B4 00000004                   R . . . . . .
alarm@@GLIBC_2_0                     extern   00000000001415B8 00000004                   R . . . . . .
getrlimit64@@GLIBC_2_2               extern   00000000001415BC 00000004                   R . . . . . .
getpwent@@GLIBC_2_0                  extern   00000000001415C0 00000004                   R . . . . . .
dlclose@@GLIBC_2_0                   extern   00000000001415C4 00000004                   R . . . . . .
sysconf@@GLIBC_2_0                   extern   00000000001415C8 00000004                   R . . . . . .
getuid@@GLIBC_2_0                    extern   00000000001415CC 00000004                   R . . . . . .
getpgrp@@GLIBC_2_0                   extern   00000000001415D0 00000004                   R . . . . . .
killpg@@GLIBC_2_0                    extern   00000000001415D4 00000004                   R . . . . . .
dlerror@@GLIBC_2_0                   extern   00000000001415D8 00000004                   R . . . . . .
geteuid@@GLIBC_2_0                   extern   00000000001415DC 00000004                   R . . . . . .
unlink@@GLIBC_2_0                    extern   00000000001415E0 00000004                   R . . . . . .
getservent@@GLIBC_2_0                extern   00000000001415E4 00000004                   R . . . . . .
textdomain@@GLIBC_2_0                extern   00000000001415E8 00000004                   R . . . . . .
strsignal@@GLIBC_2_0                 extern   00000000001415EC 00000004                   R . . . . . .
_IO_putc@@GLIBC_2_0                  extern   00000000001415F0 00000004                   R . . . . . .
readlink@@GLIBC_2_0                  extern   00000000001415F4 00000004                   R . . . . . .
mblen@@GLIBC_2_0                     extern   00000000001415F8 00000004                   R . . . . . .
getegid@@GLIBC_2_0                   extern   00000000001415FC 00000004                   R . . . . . .
ioctl@@GLIBC_2_0                     extern   0000000000141600 00000004                   R . . . . . .
fopen64@@GLIBC_2_1                   extern   0000000000141604 00000004                   R . . . . . .
__cxa_finalize@@GLIBC_2_1_3          extern   0000000000141608 00000004                   R . . . . . .
fwrite@@GLIBC_2_0                    extern   000000000014160C 00000004                   R . . . . . .
__fxstat64@@GLIBC_2_2                extern   0000000000141610 00000004                   R . . . . . .
bcopy@@GLIBC_2_0                     extern   0000000000141614 00000004                   R . . . . . .
tzset@@GLIBC_2_0                     extern   0000000000141618 00000004                   R . . . . . .
__ctype_get_mb_cur_max@@GLIBC_2_0    extern   000000000014161C 00000004                   R . . . . . .
waitpid@@GLIBC_2_0                   extern   0000000000141620 00000004                   R . . . . . .
iswctype@@GLIBC_2_0                  extern   0000000000141624 00000004                   R . . . . . .
strcat@@GLIBC_2_0                    extern   0000000000141628 00000004                   R . . . . . .
regfree@@GLIBC_2_0                   extern   000000000014162C 00000004                   R . . . . . .
strcpy@@GLIBC_2_0                    extern   0000000000141630 00000004                   R . . . . . .
tcflow@@GLIBC_2_0                    extern   0000000000141634 00000004                   R . . . . . .
getpid@@GLIBC_2_0                    extern   0000000000141638 00000004                   R . . . . . .
mbrtowc@@GLIBC_2_0                   extern   000000000014163C 00000004                   R . . . . . .
tcsetattr@@GLIBC_2_0                 extern   0000000000141640 00000004                   R . . . . . .
gethostname@@GLIBC_2_0               extern   0000000000141644 00000004                   R . . . . . .
wcscmp@@GLIBC_2_0                    extern   0000000000141648 00000004                   R . . . . . .
strcoll@@GLIBC_2_0                   extern   000000000014164C 00000004                   R . . . . . .
abs@@GLIBC_2_0                       extern   0000000000141650 00000004                   R . . . . . .
mbsnrtowcs@@GLIBC_2_0                extern   0000000000141654 00000004                   R . . . . . .
setgid@@GLIBC_2_0                    extern   0000000000141658 00000004                   R . . . . . .
puts@@GLIBC_2_0                      extern   000000000014165C 00000004                   R . . . . . .
strerror@@GLIBC_2_0                  extern   0000000000141660 00000004                   R . . . . . .
getdtablesize@@GLIBC_2_0             extern   0000000000141664 00000004                   R . . . . . .
exit@@GLIBC_2_0                      extern   0000000000141668 00000004                   R . . . . . .
kill@@GLIBC_2_0                      extern   000000000014166C 00000004                   R . . . . . .
gettext@@GLIBC_2_0                   extern   0000000000141670 00000004                   R . . . . . .
fdopen@@GLIBC_2_1                    extern   0000000000141674 00000004                   R . . . . . .
mbrlen@@GLIBC_2_0                    extern   0000000000141678 00000004                   R . . . . . .
strftime@@GLIBC_2_0                  extern   000000000014167C 00000004                   R . . . . . .
localtime@@GLIBC_2_0                 extern   0000000000141680 00000004                   R . . . . . .
strtoul@@GLIBC_2_0                   extern   0000000000141684 00000004                   R . . . . . .
strchr@@GLIBC_2_0                    extern   0000000000141688 00000004                   R . . . . . .
getcwd@@GLIBC_2_0                    extern   000000000014168C 00000004                   R . . . . . .
ttyname@@GLIBC_2_0                   extern   0000000000141690 00000004                   R . . . . . .
setrlimit64@@GLIBC_2_1               extern   0000000000141694 00000004                   R . . . . . .
strlen@@GLIBC_2_0                    extern   0000000000141698 00000004                   R . . . . . .
__libc_start_main@@GLIBC_2_0         extern   000000000014169C 00000004                   R . . . . . .
wctob@@GLIBC_2_0                     extern   00000000001416A0 00000004                   R . . . . . .
fprintf@@GLIBC_2_0                   extern   00000000001416A4 00000004                   R . . . . . .
execve@@GLIBC_2_0                    extern   00000000001416A8 00000004                   R . . . . . .
write@@GLIBC_2_0                     extern   00000000001416AC 00000004                   R . . . . . .
sigdelset@@GLIBC_2_0                 extern   00000000001416B0 00000004                   R . . . . . .
strcasecmp@@GLIBC_2_0                extern   00000000001416B4 00000004                   R . . . . . .
iswupper@@GLIBC_2_0                  extern   00000000001416B8 00000004                   R . . . . . .
getpagesize@@GLIBC_2_0               extern   00000000001416BC 00000004                   R . . . . . .
atol@@GLIBC_2_0                      extern   00000000001416C0 00000004                   R . . . . . .
fcntl@@GLIBC_2_0                     extern   00000000001416C8 00000004                   R . . . . . .
setpwent@@GLIBC_2_0                  extern   00000000001416CC 00000004                   R . . . . . .
sigaddset@@GLIBC_2_0                 extern   00000000001416D0 00000004                   R . . . . . .
dlsym@@GLIBC_2_0                     extern   00000000001416D4 00000004                   R . . . . . .
sigfillset@@GLIBC_2_0                extern   00000000001416D8 00000004                   R . . . . . .
setvbuf@@GLIBC_2_0                   extern   00000000001416DC 00000004                   R . . . . . .
getgid@@GLIBC_2_0                    extern   00000000001416E0 00000004                   R . . . . . .
setservent@@GLIBC_2_0                extern   00000000001416E4 00000004                   R . . . . . .
memset@@GLIBC_2_0                    extern   00000000001416E8 00000004                   R . . . . . .
snprintf@@GLIBC_2_0                  extern   00000000001416EC 00000004                   R . . . . . .
iswalnum@@GLIBC_2_0                  extern   00000000001416F0 00000004                   R . . . . . .
strchrnul@@GLIBC_2_1_1               extern   00000000001416F4 00000004                   R . . . . . .
putchar@@GLIBC_2_0                   extern   00000000001416F8 00000004                   R . . . . . .
__errno_location@@GLIBC_2_0          extern   00000000001416FC 00000004                   R . . . . . .
tcgetpgrp@@GLIBC_2_0                 extern   0000000000141700 00000004                   R . . . . . .
strncpy@@GLIBC_2_0                   extern   0000000000141704 00000004                   R . . . . . .
regexec@@GLIBC_2_3_4                 extern   0000000000141708 00000004                   R . . . . . .
fileno@@GLIBC_2_0                    extern   000000000014170C 00000004                   R . . . . . .
asprintf@@GLIBC_2_0                  extern   0000000000141710 00000004                   R . . . . . .
strtod@@GLIBC_2_0                    extern   0000000000141714 00000004                   R . . . . . .
getgrent@@GLIBC_2_0                  extern   0000000000141718 00000004                   R . . . . . .
wcslen@@GLIBC_2_0                    extern   000000000014171C 00000004                   R . . . . . .
gai_strerror@@GLIBC_2_1              extern   0000000000141720 00000004                   R . . . . . .
strncasecmp@@GLIBC_2_0               extern   0000000000141724 00000004                   R . . . . . .
pipe@@GLIBC_2_0                      extern   0000000000141728 00000004                   R . . . . . .
access@@GLIBC_2_0                    extern   000000000014172C 00000004                   R . . . . . .
setgrent@@GLIBC_2_0                  extern   0000000000141734 00000004                   R . . . . . .
strnlen@@GLIBC_2_0                   extern   0000000000141738 00000004                   R . . . . . .
__sigsetjmp@@GLIBC_2_0               extern   000000000014173C 00000004                   R . . . . . .
wcswidth@@GLIBC_2_0                  extern   0000000000141740 00000004                   R . . . . . .
fork@@GLIBC_2_0                      extern   0000000000141744 00000004                   R . . . . . .
sigemptyset@@GLIBC_2_0               extern   0000000000141748 00000004                   R . . . . . .
strpbrk@@GLIBC_2_0                   extern   000000000014174C 00000004                   R . . . . . .
vfprintf@@GLIBC_2_0                  extern   0000000000141750 00000004                   R . . . . . .
wcschr@@GLIBC_2_0                    extern   0000000000141754 00000004                   R . . . . . .
freeaddrinfo@@GLIBC_2_0              extern   0000000000141758 00000004                   R . . . . . .
setlocale@@GLIBC_2_0                 extern   000000000014175C 00000004                   R . . . . . .
toupper@@GLIBC_2_0                   extern   0000000000141760 00000004                   R . . . . . .
strrchr@@GLIBC_2_0                   extern   0000000000141764 00000004                   R . . . . . .
getgroups@@GLIBC_2_0                 extern   0000000000141768 00000004                   R . . . . . .
endpwent@@GLIBC_2_0                  extern   000000000014176C 00000004                   R . . . . . .
mbstowcs@@GLIBC_2_0                  extern   0000000000141770 00000004                   R . . . . . .
regcomp@@GLIBC_2_0                   extern   0000000000141774 00000004                   R . . . . . .
setuid@@GLIBC_2_0                    extern   0000000000141778 00000004                   R . . . . . .
setpgid@@GLIBC_2_0                   extern   000000000014177C 00000004                   R . . . . . .
strcasestr@@GLIBC_2_1                extern   0000000000141780 00000004                   R . . . . . .
clearerr@@GLIBC_2_0                  extern   0000000000141784 00000004                   R . . . . . .
sprintf@@GLIBC_2_0                   extern   0000000000141788 00000004                   R . . . . . .
getppid@@GLIBC_2_0                   extern   000000000014178C 00000004                   R . . . . . .
vsnprintf@@GLIBC_2_0                 extern   0000000000141790 00000004                   R . . . . . .
atoi@@GLIBC_2_0                      extern   0000000000141794 00000004                   R . . . . . .
getpeername@@GLIBC_2_0               extern   0000000000141798 00000004                   R . . . . . .
sbrk@@GLIBC_2_0                      extern   000000000014179C 00000004                   R . . . . . .
lseek64@@GLIBC_2_1                   extern   00000000001417A0 00000004                   R . . . . . .
readdir64@@GLIBC_2_2                 extern   00000000001417A4 00000004                   R . . . . . .
qsort@@GLIBC_2_0                     extern   00000000001417A8 00000004                   R . . . . . .
dlopen@@GLIBC_2_1                    extern   00000000001417AC 00000004                   R . . . . . .
socket@@GLIBC_2_0                    extern   00000000001417B0 00000004                   R . . . . . .
getaddrinfo@@GLIBC_2_0               extern   00000000001417B4 00000004                   R . . . . . .
dgettext@@GLIBC_2_0                  extern   00000000001417B8 00000004                   R . . . . . .
sigaction@@GLIBC_2_0                 extern   00000000001417BC 00000004                   R . . . . . .
bindtextdomain@@GLIBC_2_0            extern   00000000001417C0 00000004                   R . . . . . .
strncmp@@GLIBC_2_0                   extern   00000000001417C4 00000004                   R . . . . . .
getrusage@@GLIBC_2_0                 extern   00000000001417C8 00000004                   R . . . . . .
isatty@@GLIBC_2_0                    extern   00000000001417CC 00000004                   R . . . . . .
tcgetattr@@GLIBC_2_0                 extern   00000000001417D0 00000004                   R . . . . . .
towupper@@GLIBC_2_0                  extern   00000000001417D8 00000004                   R . . . . . .
abort@@GLIBC_2_0                     extern   00000000001417DC 00000004                   R . . . . . .
__xstat64@@GLIBC_2_2                 extern   00000000001417E0 00000004                   R . . . . . .
__fpurge@@GLIBC_2_2                  extern   00000000001417E4 00000004                   R . . . . . .
umask@@GLIBC_2_0                     extern   00000000001417E8 00000004                   R . . . . . .
wcsdup@@GLIBC_2_0                    extern   00000000001417EC 00000004                   R . . . . . .
strtol@@GLIBC_2_0                    extern   00000000001417F0 00000004                   R . . . . . .
fputs@@GLIBC_2_0                     extern   00000000001417F4 00000004                   R . . . . . .
connect@@GLIBC_2_0                   extern   00000000001417F8 00000004                   R . . . . . .
__lxstat64@@GLIBC_2_2                extern   00000000001417FC 00000004                   R . . . . . .
ngettext@@GLIBC_2_2                  extern   0000000000141800 00000004                   R . . . . . .
close@@GLIBC_2_0                     extern   0000000000141804 00000004                   R . . . . . .
closedir@@GLIBC_2_0                  extern   0000000000141808 00000004                   R . . . . . .
siglongjmp@@GLIBC_2_0                extern   000000000014180C 00000004                   R . . . . . .
opendir@@GLIBC_2_0                   extern   0000000000141810 00000004                   R . . . . . .
__ctype_b_loc@@GLIBC_2_3             extern   0000000000141814 00000004                   R . . . . . .
mbtowc@@GLIBC_2_0                    extern   0000000000141818 00000004                   R . . . . . .
endservent@@GLIBC_2_0                extern   000000000014181C 00000004                   R . . . . . .
getpwnam                             extern   0000000000141820 00000004                   R . . . . T .
dup2                                 extern   0000000000141824 00000004                   R . . . . T .
setitimer                            extern   0000000000141828 00000004                   R . . . . T .
endgrent                             extern   000000000014182C 00000004                   R . . . . T .
strstr                               extern   0000000000141830 00000004                   R . . . . T .
wcrtomb                              extern   0000000000141834 00000004                   R . . . . T .
pathconf                             extern   0000000000141838 00000004                   R . . . . T .
mbsrtowcs                            extern   000000000014183C 00000004                   R . . . . T .
strcmp                               extern   0000000000141840 00000004                   R . . . . T .
open64                               extern   0000000000141844 00000004                   R . . . . . .
wctomb                               extern   0000000000141848 00000004                   R . . . . T .
iswlower                             extern   000000000014184C 00000004                   R . . . . T .
read                                 extern   0000000000141850 00000004                   R . . . . T .
getpwuid                             extern   0000000000141858 00000004                   R . . . . T .
wcscoll                              extern   000000000014185C 00000004                   R . . . . T .
printf                               extern   0000000000141860 00000004                   R . . . . T .
fflush                               extern   0000000000141864 00000004                   R . . . . T .
dup                                  extern   0000000000141868 00000004                   R . . . . T .
sigprocmask                          extern   0000000000141870 00000004                   R . . . . T .
wcwidth                              extern   0000000000141874 00000004                   R . . . . . .
memmove                              extern   0000000000141878 00000004                   R . . . . T .
confstr                              extern   000000000014187C 00000004                   R . . . . T .
wcsrtombs                            extern   0000000000141880 00000004                   R . . . . T .
wctype                               extern   0000000000141884 00000004                   R . . . . T .
strtoumax                            extern   0000000000141888 00000004                   R . . . . T .
memcpy                               extern   000000000014188C 00000004                   R . . . . T .
faccessat                            extern   0000000000141890 00000004                   R . . . . . .
tcsetpgrp                            extern   0000000000141894 00000004                   R . . . . T .
mbsinit                              extern   0000000000141898 00000004                   R . . . . T .
ferror                               extern   000000000014189C 00000004                   R . . . . T .
fgets                                extern   00000000001418A0 00000004                   R . . . . T .
towlower                             extern   00000000001418A4 00000004                   R . . . . T .
tolower                              extern   00000000001418A8 00000004                   R . . . . T .
fclose                               extern   00000000001418AC 00000004                   R . . . . T .
time                                 extern   00000000001418B0 00000004                   R . . . . T .
strtoimax                            extern   00000000001418B4 00000004                   R . . . . T .
memcmp                               extern   00000000001418B8 00000004                   R . . . . T .
gettimeofday                         extern   00000000001418BC 00000004                   R . . . . T .
sleep                                extern   00000000001418C0 00000004                   R . . . . T .
select                               extern   00000000001418C4 00000004                   R . . . . T .
chdir                                extern   00000000001418C8 00000004                   R . . . . T .
wcsncmp                              extern   00000000001418CC 00000004                   R . . . . T .
eaccess                              extern   00000000001418D0 00000004                   R . . . . . .
alarm                                extern   00000000001418D4 00000004                   R . . . . T .
getrlimit64                          extern   00000000001418D8 00000004                   R . . . . . .
getpwent                             extern   00000000001418DC 00000004                   R . . . . T .
dlclose                              extern   00000000001418E0 00000004                   R . . . . T .
sysconf                              extern   00000000001418E4 00000004                   R . . . . T .
getuid                               extern   00000000001418E8 00000004                   R . . . . T .
getpgrp                              extern   00000000001418EC 00000004                   R . . . . T .
killpg                               extern   00000000001418F0 00000004                   R . . . . T .
dlerror                              extern   00000000001418F4 00000004                   R . . . . T .
geteuid                              extern   00000000001418F8 00000004                   R . . . . T .
unlink                               extern   00000000001418FC 00000004                   R . . . . T .
getservent                           extern   0000000000141900 00000004                   R . . . . T .
textdomain                           extern   0000000000141904 00000004                   R . . . . T .
strsignal                            extern   0000000000141908 00000004                   R . . . . . .
_IO_putc                             extern   000000000014190C 00000004                   R . . . . T .
readlink                             extern   0000000000141910 00000004                   R . . . . T .
mblen                                extern   0000000000141914 00000004                   R . . . . T .
getegid                              extern   0000000000141918 00000004                   R . . . . T .
ioctl                                extern   000000000014191C 00000004                   R . . . . T .
fopen64                              extern   0000000000141920 00000004                   R . . . . . .
__cxa_finalize                       extern   0000000000141924 00000004                   R . . . . . .
fwrite                               extern   0000000000141928 00000004                   R . . . . T .
__fxstat64                           extern   000000000014192C 00000004                   R . . . . . .
bcopy                                extern   0000000000141930 00000004                   R . . . . T .
tzset                                extern   0000000000141934 00000004                   R . . . . T .
__ctype_get_mb_cur_max               extern   0000000000141938 00000004                   R . . . . T .
waitpid                              extern   000000000014193C 00000004                   R . . . . T .
iswctype                             extern   0000000000141940 00000004                   R . . . . T .
strcat                               extern   0000000000141944 00000004                   R . . . . T .
regfree                              extern   0000000000141948 00000004                   R . . . . T .
strcpy                               extern   000000000014194C 00000004                   R . . . . T .
tcflow                               extern   0000000000141950 00000004                   R . . . . T .
getpid                               extern   0000000000141954 00000004                   R . . . . T .
mbrtowc                              extern   0000000000141958 00000004                   R . . . . T .
tcsetattr                            extern   000000000014195C 00000004                   R . . . . T .
gethostname                          extern   0000000000141960 00000004                   R . . . . T .
wcscmp                               extern   0000000000141964 00000004                   R . . . . T .
strcoll                              extern   0000000000141968 00000004                   R . . . . T .
abs                                  extern   000000000014196C 00000004                   R . . . . T .
mbsnrtowcs                           extern   0000000000141970 00000004                   R . . . . . .
setgid                               extern   0000000000141974 00000004                   R . . . . T .
puts                                 extern   0000000000141978 00000004                   R . . . . T .
strerror                             extern   000000000014197C 00000004                   R . . . . T .
getdtablesize                        extern   0000000000141980 00000004                   R . . . . T .
exit                                 extern   0000000000141984 00000004                   . . . . . T .
kill                                 extern   0000000000141988 00000004                   R . . . . T .
gettext                              extern   000000000014198C 00000004                   R . . . . T .
fdopen                               extern   0000000000141990 00000004                   R . . . . T .
mbrlen                               extern   0000000000141994 00000004                   R . . . . T .
strftime                             extern   0000000000141998 00000004                   R . . . . T .
localtime                            extern   000000000014199C 00000004                   R . . . . T .
strtoul                              extern   00000000001419A0 00000004                   R . . . . T .
strchr                               extern   00000000001419A4 00000004                   R . . . . T .
getcwd                               extern   00000000001419A8 00000004                   R . . . . T .
ttyname                              extern   00000000001419AC 00000004                   R . . . . T .
setrlimit64                          extern   00000000001419B0 00000004                   R . . . . . .
strlen                               extern   00000000001419B4 00000004                   R . . . . T .
__libc_start_main                    extern   00000000001419B8 00000004                   R . . . . . .
wctob                                extern   00000000001419BC 00000004                   R . . . . T .
fprintf                              extern   00000000001419C0 00000004                   R . . . . T .
execve                               extern   00000000001419C4 00000004                   R . . . . T .
write                                extern   00000000001419C8 00000004                   R . . . . T .
sigdelset                            extern   00000000001419CC 00000004                   R . . . . T .
strcasecmp                           extern   00000000001419D0 00000004                   R . . . . T .
iswupper                             extern   00000000001419D4 00000004                   R . . . . T .
getpagesize                          extern   00000000001419D8 00000004                   R . . . . T .
atol                                 extern   00000000001419DC 00000004                   R . . . . T .
fcntl                                extern   00000000001419E4 00000004                   R . . . . T .
setpwent                             extern   00000000001419E8 00000004                   R . . . . T .
sigaddset                            extern   00000000001419EC 00000004                   R . . . . T .
dlsym                                extern   00000000001419F0 00000004                   R . . . . T .
sigfillset                           extern   00000000001419F4 00000004                   R . . . . T .
setvbuf                              extern   00000000001419F8 00000004                   R . . . . T .
getgid                               extern   00000000001419FC 00000004                   R . . . . T .
setservent                           extern   0000000000141A00 00000004                   R . . . . T .
memset                               extern   0000000000141A04 00000004                   R . . . . T .
snprintf                             extern   0000000000141A08 00000004                   R . . . . T .
iswalnum                             extern   0000000000141A0C 00000004                   R . . . . T .
strchrnul                            extern   0000000000141A10 00000004                   R . . . . . .
putchar                              extern   0000000000141A14 00000004                   R . . . . T .
__errno_location                     extern   0000000000141A18 00000004                   R . . . . T .
tcgetpgrp                            extern   0000000000141A1C 00000004                   R . . . . T .
strncpy                              extern   0000000000141A20 00000004                   R . . . . T .
regexec                              extern   0000000000141A24 00000004                   R . . . . T .
fileno                               extern   0000000000141A28 00000004                   R . . . . T .
