_init_proc                           .init    000000000001D6DC 00000023 0000000C 00000000 R . . . . . .
handle_eof_input_unit                .text    00000000000271D0 00000144 0000003C 00000000 R . . . B . .
gather_here_documents                .text    0000000000027320 00000097 0000001C 00000000 R . . . B . .
rewind_input_string                  .text    00000000000273C0 00000064 00000014 00000000 R . . . B . .
yyerror                              .text    0000000000027430 0000003F 0000001C 00000004 R . . . B . .
yydestruct                           .text    0000000000027470 00000049 00000018 0000000C R . . . B . .
return_EOF                           .text    00000000000274C0 0000000A 00000004 00000000 R . . . B . .
initialize_bash_input                .text    00000000000274D0 0000009E 0000002C 00000000 R . . . B . .
init_yy_io                           .text    0000000000027570 00000121 0000004C 00000011 R . . . B . .
yy_input_name                        .text    00000000000276A0 00000052 0000000C 00000000 R . . . B . .
with_input_from_stdin                .text    0000000000027700 0000009B 0000003C 00000000 R . . . B . .
stream_on_stack                      .text    00000000000277A0 00000069 00000010 00000004 R . . . B . .
yy_readline_get                      .text    0000000000027810 000002E2 0000006C 00000000 R . . . B . .
yy_readline_unget                    .text    0000000000027B00 0000006D 00000014 00000004 R . . . B . .
with_input_from_string               .text    0000000000027B70 0000006F 0000003C 00000008 R . . . B . .
yy_string_get                        .text    0000000000027BE0 00000078 0000001C 00000000 R . . . B . .
yy_string_unget                      .text    0000000000027C60 00000039 0000000C 00000004 R . . . B . .
with_input_from_stream               .text    0000000000027CA0 0000006F 0000003C 00000008 R . . . B . .
yy_stream_get                        .text    0000000000027D10 0000004F 0000001C 00000000 R . . . B . .
yy_stream_unget                      .text    0000000000027D60 00000039 0000001C 00000004 R . . . B . .
push_stream                          .text    0000000000027DA0 00000133 0000003C 00000004 R . . . B . .
pop_stream                           .text    0000000000027EE0 000001E4 0000004C 00000000 R . . . B . .
save_token_state                     .text    00000000000280D0 00000088 0000002C 00000000 R . . . B . .
restore_token_state                  .text    0000000000028160 00000063 0000000C 00000004 R . . . B . .
free_pushed_string_input             .text    00000000000281D0 0000001E 00000008 00000000 R . . . B . .
free_string_list                     .text    00000000000281F0 000000DD 0000002C 00000000 R . . . B . .
parser_expanding_alias               .text    00000000000282D0 0000004D 0000000C 00000000 R . . . B . .
parser_save_alias                    .text    0000000000028320 00000051 0000001C 00000000 R . . . B . .
push_string                          .text    0000000000028380 000001B4 0000004C 0000000C R . . . B . .
parser_restore_alias                 .text    0000000000028540 00000031 0000000C 00000000 R . . . B . .
pop_string                           .text    0000000000028580 0000012B 0000002C 00000000 R . . . B . .
read_secondary_line                  .text    00000000000286B0 000000D6 0000002C 00000004 R . . . B . .
prompt_again                         .text    0000000000028790 0000021A 0000003C 00000000 R . . . B . .
read_a_line                          .text    00000000000289B0 00000326 0000004C 00000004 R . . . B . .
execute_variable_command             .text    0000000000028CE0 000001BD 0000009C 00000008 R . . . B . .
save_parser_state                    .text    0000000000028EA0 00000195 0000003C 00000004 R . . . B . .
restore_parser_state                 .text    0000000000029040 000001B1 0000003C 00000004 R . . . B . .
reset_parser                         .text    0000000000029200 00000155 0000002C 00000000 R . . . B . .
xparse_dolparen                      .text    0000000000029360 000002A6 000000CC 00000010 R . . . B . .
save_input_line_state                .text    0000000000029610 000000DD 0000002C 00000004 R . . . B . .
restore_input_line_state             .text    00000000000296F0 0000009F 0000002C 00000004 R . . . B . .
find_reserved_word                   .text    0000000000029790 000000B2 0000002C 00000004 R . . . B . .
parser_in_command_position           .text    0000000000029850 000000C8 0000001C 00000000 R . . . B . .
reserved_word_acceptable             .text    0000000000029920 000001D5 00000048 00000004 R . . . B . .
history_delimiting_chars             .text    0000000000029B00 000003E3 0000002C 00000004 R . . . B . .
get_current_prompt_level             .text    0000000000029EF0 0000005F 00000010 00000000 R . . . B . .
set_current_prompt_level             .text    0000000000029F50 00000046 00000010 00000004 R . . . B . .
decode_prompt_string                 .text    0000000000029FA0 0000177C 0000126C 00000004 R . . . B . .
report_syntax_error                  .text    000000000002B720 00000384 0000004C 00000004 R . . . B . .
parse_string_to_word_list            .text    000000000002BAB0 00000337 0000006C 0000000C R . . . B . .
read_token                           .text    000000000002BDF0 00000CD2 0000006C 00000004 R . . . B . .
set_line_mbstate                     .text    000000000002CAD0 00000257 0000005C 00000000 R . . . B . .
print_prompt                         .text    000000000002CD30 0000005F 0000002C 00000000 R . . . B . .
yy_getc                              .text    000000000002CD90 00000022 00000008 00000000 R . . . B . .
yy_ungetc                            .text    000000000002CDC0 00000032 0000001C 00000004 R . . . B . .
error_token_from_token               .text    000000000002CE00 000001F2 0000004C 00000004 R . . . B . .
print_offending_line                 .text    000000000002D000 0000012A 0000003C 00000000 R . . . B . .
error_token_from_text                .text    000000000002D130 000002A3 0000004C 00000000 R . . . B . .
parse_cond_command                   .text    000000000002D3E0 00000042 0000001C 00000000 R . . . B . .
cond_error                           .text    000000000002D430 0000013F 0000002C 00000000 R . . . B . .
shell_getc                           .text    000000000002D570 00000C8B 0000007C 00000004 R . . . B . .
discard_until                        .text    000000000002E200 00000082 0000002C 00000004 R . . . B . .
shell_ungetc                         .text    000000000002E290 00000073 00000010 00000004 R . . . B . .
parse_dparen                         .text    000000000002E310 000001E5 0000004C 00000004 R . . . B . .
read_token_word                      .text    000000000002E500 00002A42 000001CC 00000004 R . . . B . .
cond_expr                            .text    0000000000030F50 0000001E 00000008 00000000 R . . . B . .
cond_or                              .text    0000000000030F70 0000007E 0000002C 00000000 R . . . B . .
cond_and                             .text    0000000000030FF0 0000007E 0000002C 00000000 R . . . B . .
cond_term                            .text    0000000000031070 00000B0C 000000CC 00000000 R . . . B . .
cond_skip_newlines                   .text    0000000000031B80 00000093 0000001C 00000000 R . . . B . .
parse_arith_cmd                      .text    0000000000031C20 0000027B 0000007C 00000008 R . . . B . .
parse_matched_pair                   .text    0000000000031EA0 00001989 0000012C 00000014 R . . . B . .
parse_comsub                         .text    0000000000033830 000022AD 0000018C 00000014 R . . . B . .
token_is_ident                       .text    0000000000035AE0 0000005A 0000001C 00000008 R . . . B . .
token_is_assignment                  .text    0000000000035B40 0000009F 0000002C 00000008 R . . . B . .
parse_compound_assignment            .text    0000000000035BE0 00000388 0000006C 00000004 R . . . B . .
special_case_tokens                  .text    0000000000035F70 00000436 0000002C 00000004 R . . . B . .
time_command_acceptable              .text    00000000000363B0 000001DD 00000044 00000000 R . . . B . .
alias_expand_token                   .text    0000000000036590 0000018B 0000002C 00000004 R . . . B . .
mk_alexpansion                       .text    0000000000036720 000000CE 0000003C 00000004 R . . . B . .
posix_initialize                     .text    00000000000367F0 0000008A 00000014 00000004 R . . . B . .
string_to_rlimtype                   .text    0000000000036880 000001BC 0000002C 00000004 R . . . B . .
print_rlimtype                       .text    0000000000036A40 00000188 0000005C 0000000C R . . . B . .
all_digits                           .text    0000000000036BD0 00000082 00000014 00000004 R . . . B . .
legal_number                         .text    0000000000036C60 00000141 0000003C 00000008 R . . . B . .
legal_identifier                     .text    0000000000036DB0 0000011F 0000002C 00000004 R . . . B . .
check_identifier                     .text    0000000000036ED0 000000E6 0000002C 00000008 R . . . B . .
legal_alias_name                     .text    0000000000036FC0 000000DC 00000018 00000008 R . . . B . .
assignment                           .text    00000000000370A0 0000022F 0000004C 00000008 R . . . B . .
